title,price,odometer,body,trans,engline,state,seller,state_2,odo_adj,id,seller_ad,state_ad,state_only,price_adj,body_adj,trans_ad,odo_ad,engine_ad
2019 Hyundai i30 Active Auto MY19,"$25,485 ",Build date Apr 2019,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
",Private Seller Car,"QLD
",date,18140,incorrect seller,"QLD
",QLD,25485,Hatch,Automatic,0,4cyl 2.0L Petrol
2019 Hyundai Tucson Highlander Auto AWD MY20,"$45,879 ",Build date Nov 2019,SUV,Automatic,4cyl 2.0L Turbo Diesel,"QLD
",Private Seller Car,"QLD
",date,18407,incorrect seller,"QLD
",QLD,45879,SUV,Automatic,0,4cyl 2.0L Turbo Diesel
2019 Hyundai Tucson Highlander Auto AWD MY20,"$53,194 ",Build date Jan 2019,SUV,Automatic,4cyl 2.0L Turbo Diesel,"VIC
",Private Seller Car,"VIC
",date,18438,incorrect seller,"VIC
",VIC,53194,SUV,Automatic,0,4cyl 2.0L Turbo Diesel
2019 Hyundai Santa Fe Highlander Auto 4x4 MY20,"$59,888 ",Build date Oct 2019,SUV,Automatic,4cyl 2.2L Turbo Diesel,"ACT
",Private Seller Car,"ACT
",date,18455,incorrect seller,"ACT
",ACT,59888,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai i30 Manual MY21,"$25,490 ",Build date Jan 2021,Hatch,Manual,4cyl 2.0L Petrol,"WA
",Private Seller Car,"WA
",date,18583,incorrect seller,"WA
",WA,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2020 Hyundai Venue Active Manual MY21,"$26,184 ",Build date May 2021,SUV,Manual,4cyl 2.0L Petrol,"QLD
",Private Seller Car,"QLD
",date,18607,incorrect seller,"QLD
",QLD,26184,SUV,Manual,0,4cyl 2.0L Petrol
2020 Hyundai Venue Auto MY21,"$26,192 ",Build date Feb 2021,SUV,Automatic,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,18608,incorrect seller,"NSW
",NSW,26192,SUV,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Auto MY21,"$27,490 ",Build date Nov 2020,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
",Private Seller Car,"QLD
",date,18644,incorrect seller,"QLD
",QLD,27490,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Auto MY21,"$27,490 ",Build date Dec 2020,Hatch,Automatic,4cyl 2.0L Petrol,"VIC
",Private Seller Car,"VIC
",date,18646,incorrect seller,"VIC
",VIC,27490,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Auto MY21,"$27,490 ",Build date Dec 2020,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
",Private Seller Car,"QLD
",date,18649,incorrect seller,"QLD
",QLD,27490,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Auto MY21,"$27,490 ",Build date Dec 2020,Hatch,Automatic,4cyl 2.0L Petrol,"WA
",Private Seller Car,"WA
",date,18650,incorrect seller,"WA
",WA,27490,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Auto MY21,"$27,500 ",Build date Nov 2020,Hatch,Automatic,4cyl 2.0L Petrol,"VIC
",Dealer Used Car,"VIC
",date,18651,incorrect seller,"VIC
",VIC,27500,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai Venue Active Auto MY21,"$28,288 ",Build date Jan 2020,SUV,Automatic,4cyl 1.6L Petrol,"NSW
",Private Seller Car,"NSW
",date,18677,incorrect seller,"NSW
",NSW,28288,SUV,Automatic,0,4cyl 1.6L Petrol
2020 Hyundai Venue Active Auto MY21,"$28,288 ",Build date Nov 2020,SUV,Automatic,4cyl 2.0L Petrol,"VIC
",Private Seller Car,"VIC
",date,18678,incorrect seller,"VIC
",VIC,28288,SUV,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Active Auto MY21,"$28,990 ",Build date Nov 2020,Hatch,Automatic,4cyl 2.0L Petrol,"WA
",Dealer Used Car,"WA
",date,18687,incorrect seller,"WA
",WA,28990,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai Kona Auto 2WD MY21,"$28,990 ",Build date Dec 2020,SUV,Automatic,4cyl 2.0L Petrol,"QLD
",Private Seller Car,"QLD
",date,18688,incorrect seller,"QLD
",QLD,28990,SUV,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai Kona Auto 2WD MY21,"$28,990 ",Build date Nov 2020,SUV,Automatic,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,18690,incorrect seller,"NSW
",NSW,28990,SUV,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Active Auto MY21,"$28,990 ",Build date Nov 2020,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
",Private Seller Car,"QLD
",date,18691,incorrect seller,"QLD
",QLD,28990,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Active Auto MY21,"$29,990 ",Build date Aug 2020,Sedan,Automatic,4cyl 2.0L Petrol,"SA
",Private Seller Car,"SA
",date,18707,incorrect seller,"SA
",SA,29990,Sedan,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Active Auto MY21,"$29,990 ",Build date Dec 2020,Hatch,Automatic,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,18710,incorrect seller,"NSW
",NSW,29990,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai Venue Elite Auto MY21,"$30,105 ",Build date May 2021,SUV,Automatic,4cyl 1.6L Petrol,"NSW
",Private Seller Car,"NSW
",date,18716,incorrect seller,"NSW
",NSW,30105,SUV,Automatic,0,4cyl 1.6L Petrol
2020 Hyundai i30 Active Auto MY21,"$30,467 ",Build date Nov 2020,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
",Private Seller Car,"QLD
",date,18718,incorrect seller,"QLD
",QLD,30467,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Active Auto MY21,"$30,515 ",Build date Dec 2020,Hatch,Automatic,4cyl 2.0L Petrol,"VIC
",Private Seller Car,"VIC
",date,18724,incorrect seller,"VIC
",VIC,30515,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Active Auto MY21,"$30,515 ",Build date Jun 2021,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
",Private Seller Car,"QLD
",date,18725,incorrect seller,"QLD
",QLD,30515,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Active Auto MY21,"$30,977 ",Build date Nov 2020,Hatch,Automatic,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,18730,incorrect seller,"NSW
",NSW,30977,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Active Auto MY21,"$30,977 ",Build date Nov 2020,Hatch,Automatic,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,18731,incorrect seller,"NSW
",NSW,30977,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Elite Auto MY21,"$33,866 ",Build date Feb 2021,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
",Private Seller Car,"QLD
",date,18765,incorrect seller,"QLD
",QLD,33866,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 Elite Auto MY21,"$33,990 ",Build date Jan 2021,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
",Private Seller Car,"QLD
",date,18770,incorrect seller,"QLD
",QLD,33990,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 N Line Manual MY21,"$33,990 ",Build date Nov 2020,Hatch,Manual,4cyl 1.6L Turbo Petrol,"VIC
",Private Seller Car,"VIC
",date,18772,incorrect seller,"VIC
",VIC,33990,Hatch,Manual,0,4cyl 1.6L Turbo Petrol
2020 Hyundai i30 Elite Auto MY21,"$34,511 ",Build date Aug 2020,Sedan,Automatic,4cyl 2.0L Petrol,"WA
",Private Seller Car,"WA
",date,18776,incorrect seller,"WA
",WA,34511,Sedan,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 N Line Auto MY21,"$35,354 ",Build date Oct 2020,Hatch,Automatic,4cyl 1.6L Turbo Petrol,"VIC
",Private Seller Car,"VIC
",date,18787,incorrect seller,"VIC
",VIC,35354,Hatch,Automatic,0,4cyl 1.6L Turbo Petrol
2020 Hyundai i30 N Line Premium Manual MY21,"$38,104 ",Build date Nov 2020,Hatch,Manual,4cyl 1.6L Turbo Petrol,"NSW
",Private Seller Car,"NSW
",date,18810,incorrect seller,"NSW
",NSW,38104,Hatch,Manual,0,4cyl 1.6L Turbo Petrol
2020 Hyundai i30 N Line Premium Auto MY21,"$39,990 ",Build date Aug 2020,Hatch,Automatic,4cyl 1.6L Turbo Petrol,"NSW
",Dealer Used Car,"NSW
",date,18828,incorrect seller,"NSW
",NSW,39990,Hatch,Automatic,0,4cyl 1.6L Turbo Petrol
2020 Hyundai Kona N-Line Auto AWD MY21,"$39,990 ",Build date Dec 2020,SUV,Automatic,4cyl 1.6L Turbo Petrol,"QLD
",Dealer Used Car,"QLD
",date,18831,incorrect seller,"QLD
",QLD,39990,SUV,Automatic,0,4cyl 1.6L Turbo Petrol
2020 Hyundai i30 N Line Premium Auto MY21,"$40,355 ",Build date Nov 2020,Hatch,Automatic,4cyl 1.6L Turbo Petrol,"WA
",Private Seller Car,"WA
",date,18834,incorrect seller,"WA
",WA,40355,Hatch,Automatic,0,4cyl 1.6L Turbo Petrol
2020 Hyundai i30 N Line Premium Auto MY21,"$40,649 ",Build date Dec 2020,Hatch,Automatic,4cyl 1.6L Turbo Petrol,"WA
",Private Seller Car,"WA
",date,18835,incorrect seller,"WA
",WA,40649,Hatch,Automatic,0,4cyl 1.6L Turbo Petrol
2020 Hyundai Tucson Highlander Auto AWD MY21,"$48,500 ",Build date Jan 2021,SUV,Automatic,4cyl 1.6L Turbo Petrol,"NSW
",Private Seller Car,"NSW
",date,18886,incorrect seller,"NSW
",NSW,48500,SUV,Automatic,0,4cyl 1.6L Turbo Petrol
2020 Hyundai Tucson Highlander Auto AWD MY21,"$51,292 ",Build date Jul 2020,SUV,Automatic,4cyl 1.6L Turbo Petrol,"VIC
",Private Seller Car,"VIC
",date,18899,incorrect seller,"VIC
",VIC,51292,SUV,Automatic,0,4cyl 1.6L Turbo Petrol
2020 Hyundai iMax Elite Auto MY20,"$53,402 ",Build date Dec 2020,People Mover,Automatic,4cyl 2.5L Turbo Diesel,"WA
",Private Seller Car,"WA
",date,18904,incorrect seller,"WA
",WA,53402,People Mover,Automatic,0,4cyl 2.5L Turbo Diesel
2020 Hyundai Palisade Auto 2WD MY21,"$64,787 ",Build date Jan 2021,SUV,Automatic,6cyl 3.8L Petrol,"NSW
",Private Seller Car,"NSW
",date,18942,incorrect seller,"NSW
",NSW,64787,SUV,Automatic,0,6cyl 3.8L Petrol
2020 Hyundai Palisade Auto 2WD MY21,"$64,787 ",Build date Nov 2020,SUV,Automatic,6cyl 3.8L Petrol,"WA
",Private Seller Car,"WA
",date,18943,incorrect seller,"WA
",WA,64787,SUV,Automatic,0,6cyl 3.8L Petrol
2020 Hyundai Palisade Auto AWD MY21,"$64,854 ",Build date Oct 2020,SUV,Automatic,4cyl 2.2L Turbo Diesel,"NSW
",Private Seller Car,"NSW
",date,18944,incorrect seller,"NSW
",NSW,64854,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai Palisade Auto 2WD MY21,"$64,874 ",Build date Nov 2020,SUV,Automatic,6cyl 3.8L Petrol,"VIC
",Private Seller Car,"VIC
",date,18945,incorrect seller,"VIC
",VIC,64874,SUV,Automatic,0,6cyl 3.8L Petrol
2020 Hyundai Palisade Auto 2WD MY21,"$64,910 ",Build date Nov 2020,SUV,Automatic,6cyl 3.8L Petrol,"VIC
",Private Seller Car,"VIC
",date,18947,incorrect seller,"VIC
",VIC,64910,SUV,Automatic,0,6cyl 3.8L Petrol
2020 Hyundai Palisade Auto 2WD MY21,"$65,135 ",Build date Nov 2020,SUV,Automatic,6cyl 3.8L Petrol,"SA
",Dealer Used Car,"SA
",date,18951,incorrect seller,"SA
",SA,65135,SUV,Automatic,0,6cyl 3.8L Petrol
2020 Hyundai Palisade Auto 2WD MY21,"$65,135 ",Build date Nov 2020,SUV,Automatic,6cyl 3.8L Petrol,"VIC
",Private Seller Car,"VIC
",date,18952,incorrect seller,"VIC
",VIC,65135,SUV,Automatic,0,6cyl 3.8L Petrol
2020 Hyundai Palisade Auto 2WD MY21,"$65,135 ",Build date Nov 2020,SUV,Automatic,6cyl 3.8L Petrol,"VIC
",Private Seller Car,"VIC
",date,18953,incorrect seller,"VIC
",VIC,65135,SUV,Automatic,0,6cyl 3.8L Petrol
2020 Hyundai Palisade Auto AWD MY21,"$66,990 ",Build date Oct 2020,SUV,Automatic,4cyl 2.2L Turbo Diesel,"VIC
",Private Seller Car,"VIC
",date,18958,incorrect seller,"VIC
",VIC,66990,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai Palisade Auto AWD MY21,"$68,927 ",Build date Nov 2020,SUV,Automatic,4cyl 2.2L Turbo Diesel,"NSW
",Private Seller Car,"NSW
",date,18965,incorrect seller,"NSW
",NSW,68927,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai Palisade Auto AWD MY21,"$68,927 ",Build date Dec 2020,SUV,Automatic,4cyl 2.2L Turbo Diesel,"QLD
",Private Seller Car,"QLD
",date,18966,incorrect seller,"QLD
",QLD,68927,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai Palisade Auto AWD MY21,"$68,927 ",Build date Nov 2020,SUV,Automatic,4cyl 2.2L Turbo Diesel,"QLD
",Private Seller Car,"QLD
",date,18967,incorrect seller,"QLD
",QLD,68927,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai Palisade Auto AWD MY21,"$70,924 ",Build date Nov 2020,SUV,Automatic,4cyl 2.2L Turbo Diesel,"WA
",Private Seller Car,"WA
",date,18974,incorrect seller,"WA
",WA,70924,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai Palisade Auto AWD MY21,"$70,924 ",Build date Nov 2020,SUV,Automatic,4cyl 2.2L Turbo Diesel,"NSW
",Dealer Used Car,"NSW
",date,18975,incorrect seller,"NSW
",NSW,70924,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai Palisade Auto AWD MY21,"$70,924 ",Build date Jan 2021,SUV,Automatic,4cyl 2.2L Turbo Diesel,"SA
",Private Seller Car,"SA
",date,18976,incorrect seller,"SA
",SA,70924,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai Palisade Auto AWD MY21,"$70,924 ",Build date Nov 2020,SUV,Automatic,4cyl 2.2L Turbo Diesel,"SA
",Private Seller Car,"SA
",date,18977,incorrect seller,"SA
",SA,70924,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai Palisade Auto AWD MY21,"$70,924 ",Build date Nov 2020,SUV,Automatic,4cyl 2.2L Turbo Diesel,"NSW
",Private Seller Car,"NSW
",date,18978,incorrect seller,"NSW
",NSW,70924,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai Palisade Auto AWD MY21,"$70,924 ",Build date Jan 2020,SUV,Automatic,4cyl 2.2L Turbo Diesel,"WA
",Private Seller Car,"WA
",date,18979,incorrect seller,"WA
",WA,70924,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai Palisade Highlander Auto AWD MY21,"$82,130 ",Build date Dec 2020,SUV,Automatic,4cyl 2.2L Turbo Diesel,"NSW
",Private Seller Car,"NSW
",date,18992,incorrect seller,"NSW
",NSW,82130,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai Palisade Highlander Auto AWD MY21,"$84,507 ",Build date Jan 2021,SUV,Automatic,4cyl 1.6L Turbo Petrol,"NSW
",Private Seller Car,"NSW
",date,18994,incorrect seller,"NSW
",NSW,84507,SUV,Automatic,0,4cyl 1.6L Turbo Petrol
2020 Hyundai Kona N-Line Premium Auto AWD MY21,Enquire for price*,Build date Dec 2020,SUV,Automatic,4cyl 2.2L Turbo Diesel,"NSW
",Private Seller Car,"NSW
",date,18995,incorrect seller,"NSW
",NSW,,SUV,Automatic,0,4cyl 2.2L Turbo Diesel
2020 Hyundai i30 Active Auto MY21,Enquire for price*,Build date Nov 2020,Hatch,Automatic,6cyl 3.8L Petrol,"NSW
",Private Seller Car,"NSW
",date,19002,incorrect seller,"NSW
",NSW,,Hatch,Automatic,0,6cyl 3.8L Petrol
2020 Hyundai i30 Active Auto MY21,Enquire for price*,Build date Nov 2020,Hatch,Automatic,4cyl 1.6L Turbo Petrol,"VIC
",Private Seller Car,"VIC
",date,19004,incorrect seller,"VIC
",VIC,,Hatch,Automatic,0,4cyl 1.6L Turbo Petrol
2020 Hyundai Palisade Auto 2WD MY21,Enquire for price*,Build date Oct 2020,SUV,Automatic,Electric (range: 373 km),"NSW
",Private Seller Car,"NSW
",date,19006,incorrect seller,"NSW
",NSW,,SUV,Automatic,0,Electric (range: 373 km)
2020 Hyundai i30 Active Auto MY21,Enquire for price*,Build date Nov 2020,Hatch,Automatic,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,19007,incorrect seller,"NSW
",NSW,,Hatch,Automatic,0,4cyl 2.0L Petrol
2020 Hyundai i30 N Line Premium Auto MY21,Enquire for price*,Build date Dec 2020,Hatch,Automatic,6cyl 3.8L Petrol,"NSW
",Private Seller Car,"NSW
",date,19009,incorrect seller,"NSW
",NSW,,Hatch,Automatic,0,6cyl 3.8L Petrol
2020 Hyundai Sonata N Line Auto MY21,Enquire for price*,Build date May 2021,Sedan,Automatic,4cyl 2.5L Turbo Petrol,"VIC
",Private Seller Car,"VIC
",date,19012,incorrect seller,"VIC
",VIC,,Sedan,Automatic,0,4cyl 2.5L Turbo Petrol
2020 Hyundai Sonata N Line Auto MY21,Enquire for price*,Build date May 2021,Sedan,Automatic,Electric (range: 373 km),"VIC
",Private Seller Car,"VIC
",date,19017,incorrect seller,"VIC
",VIC,,Sedan,Automatic,0,Electric (range: 373 km)
2021 Hyundai Venue Manual MY21,"$24,217 ",Build date Dec 2020,SUV,Manual,4cyl 1.6L Petrol,"QLD
",Private Seller Car,"QLD
",date,19030,incorrect seller,"QLD
",QLD,24217,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,286 ",Build date Jul 2021,SUV,Manual,4cyl 1.6L Petrol,"NSW
",Private Seller Car,"NSW
",date,19033,incorrect seller,"NSW
",NSW,24286,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,307 ",Build date Dec 2020,SUV,Manual,4cyl 1.6L Petrol,"QLD
",Private Seller Car,"QLD
",date,19034,incorrect seller,"QLD
",QLD,24307,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,307 ",Build date Jul 2021,SUV,Manual,4cyl 1.6L Petrol,"NSW
",Private Seller Car,"NSW
",date,19035,incorrect seller,"NSW
",NSW,24307,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,359 ",Build date Apr 2021,SUV,Manual,4cyl 1.6L Petrol,"QLD
",Private Seller Car,"QLD
",date,19036,incorrect seller,"QLD
",QLD,24359,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,359 ",Build date Feb 2021,SUV,Manual,4cyl 1.6L Petrol,"NSW
",Private Seller Car,"NSW
",date,19037,incorrect seller,"NSW
",NSW,24359,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,359 ",Build date Mar 2021,SUV,Manual,4cyl 1.6L Petrol,"QLD
",Private Seller Car,"QLD
",date,19038,incorrect seller,"QLD
",QLD,24359,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,359 ",Build date Jan 2021,SUV,Manual,4cyl 1.6L Petrol,"NSW
",Private Seller Car,"NSW
",date,19039,incorrect seller,"NSW
",NSW,24359,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,359 ",Build date Mar 2021,SUV,Manual,4cyl 1.6L Petrol,"QLD
",Private Seller Car,"QLD
",date,19040,incorrect seller,"QLD
",QLD,24359,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,359 ",Build date Mar 2021,SUV,Manual,4cyl 1.6L Petrol,"NSW
",Dealer Used Car,"NSW
",date,19041,incorrect seller,"NSW
",NSW,24359,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,428 ",Build date May 2021,SUV,Manual,4cyl 1.6L Petrol,"SA
",Private Seller Car,"SA
",date,19043,incorrect seller,"SA
",SA,24428,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,428 ",Build date Feb 2021,SUV,Manual,4cyl 1.6L Petrol,"VIC
",Dealer Used Car,"VIC
",date,19044,incorrect seller,"VIC
",VIC,24428,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,428 ",Build date Feb 2021,SUV,Manual,4cyl 1.6L Petrol,"NSW
",Private Seller Car,"NSW
",date,19045,incorrect seller,"NSW
",NSW,24428,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,428 ",Build date May 2021,SUV,Manual,4cyl 1.6L Petrol,"VIC
",Private Seller Car,"VIC
",date,19046,incorrect seller,"VIC
",VIC,24428,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai Venue Manual MY21,"$24,726 ",Build date Jun 2021,SUV,Manual,4cyl 1.6L Petrol,"VIC
",Dealer Used Car,"VIC
",date,19056,incorrect seller,"VIC
",VIC,24726,SUV,Manual,0,4cyl 1.6L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date May 2021,Hatch,Manual,4cyl 2.0L Petrol,"VIC
",Private Seller Car,"VIC
",date,19079,incorrect seller,"VIC
",VIC,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date May 2021,Hatch,Manual,4cyl 2.0L Petrol,"VIC
",Dealer Used Car,"VIC
",date,19080,incorrect seller,"VIC
",VIC,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Jun 2021,Hatch,Manual,4cyl 2.0L Petrol,"VIC
",Private Seller Car,"VIC
",date,19083,incorrect seller,"VIC
",VIC,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date May 2021,Hatch,Manual,4cyl 2.0L Petrol,"VIC
",Private Seller Car,"VIC
",date,19084,incorrect seller,"VIC
",VIC,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Mar 2021,Hatch,Manual,4cyl 2.0L Petrol,"VIC
",Private Seller Car,"VIC
",date,19085,incorrect seller,"VIC
",VIC,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date May 2021,Hatch,Manual,4cyl 2.0L Petrol,"VIC
",Private Seller Car,"VIC
",date,19086,incorrect seller,"VIC
",VIC,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Jun 2021,Hatch,Manual,4cyl 2.0L Petrol,"VIC
",Private Seller Car,"VIC
",date,19087,incorrect seller,"VIC
",VIC,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date May 2021,Hatch,Manual,4cyl 2.0L Petrol,"VIC
",Private Seller Car,"VIC
",date,19088,incorrect seller,"VIC
",VIC,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Jun 2021,Hatch,Manual,4cyl 2.0L Petrol,"VIC
",Dealer Used Car,"VIC
",date,19089,incorrect seller,"VIC
",VIC,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date May 2021,Hatch,Manual,4cyl 2.0L Petrol,"VIC
",Private Seller Car,"VIC
",date,19090,incorrect seller,"VIC
",VIC,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Jul 2021,Hatch,Manual,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,19091,incorrect seller,"NSW
",NSW,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Jul 2021,Hatch,Manual,4cyl 2.0L Petrol,"NSW
",Dealer Used Car,"NSW
",date,19092,incorrect seller,"NSW
",NSW,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Jun 2021,Hatch,Manual,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,19093,incorrect seller,"NSW
",NSW,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Jun 2021,Hatch,Manual,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,19094,incorrect seller,"NSW
",NSW,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Jan 2021,Hatch,Manual,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,19095,incorrect seller,"NSW
",NSW,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Mar 2021,Hatch,Manual,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,19096,incorrect seller,"NSW
",NSW,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Jul 2021,Hatch,Manual,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,19097,incorrect seller,"NSW
",NSW,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Jun 2021,Hatch,Manual,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,19099,incorrect seller,"NSW
",NSW,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date Jun 2021,Hatch,Manual,4cyl 2.0L Petrol,"NSW
",Private Seller Car,"NSW
",date,19100,incorrect seller,"NSW
",NSW,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,490 ",Build date May 2021,Hatch,Manual,4cyl 2.0L Petrol,"NSW
",Dealer Used Car,"NSW
",date,19101,incorrect seller,"NSW
",NSW,25490,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai i30 Manual MY21,"$25,990 ",Build date Jul 2021,Hatch,Manual,4cyl 2.0L Petrol,"QLD
",Private Seller Car,"QLD
",date,19130,incorrect seller,"QLD
",QLD,25990,Hatch,Manual,0,4cyl 2.0L Petrol
2021 Hyundai Venue Auto MY21,"$26,293 ",Build date Jun 2021,SUV,Automatic,4cyl 2.0L Petrol,"QLD
",Private Seller Car,"QLD
",date,19135,incorrect seller,"QLD
",QLD,26293,SUV,Automatic,0,4cyl 2.0L Petrol
